iter	Passed	Remaining
500	192521	191752
501	192967	191429
502	193446	191139
503	193842	190765
504	194292	190445
505	194662	190045
506	195033	189647
507	195328	189176
508	195764	188841
509	196078	188388
510	196504	188044
511	196884	187655
512	197302	187302
513	197731	186959
514	198103	186563
515	198443	186136
516	198856	185778
517	199251	185404
518	199615	184999
519	200013	184627
520	200437	184279
521	200803	183877
522	201163	183470
523	201565	183101
524	201930	182699
525	202310	182310
526	202687	181918
527	203084	181545
528	203423	181119
529	203853	180775
530	204216	180372
531	204573	179962
532	204920	179545
533	205332	179184
534	205727	178809
535	206108	178422
536	206589	178120
537	206987	177747
538	207384	177373
539	207781	176999
540	208159	176608
541	208650	176313
542	208987	175887
543	209407	175532
544	209814	175166
545	210210	174790
546	210604	174413
547	211037	174067
548	211398	173662
549	211786	173279
550	212089	172828
551	212399	172382
552	212780	171994
553	213186	171626
554	213587	171255
555	213969	170868
556	214322	170457
557	214729	170090
558	215184	169760
559	215626	169421
560	216052	169067
561	216522	168748
562	216931	168382
563	217365	168034
564	217819	167701
565	218223	167330
566	218636	166965
567	218995	166559
568	219409	166196
569	219720	165754
570	220109	165371
571	220504	164992
572	220918	164628
573	221411	164322
574	221802	163941
575	222149	163526
576	222472	163095
577	222915	162751
578	223345	162397
579	223689	161981
580	224123	161631
581	224523	161255
582	224906	160867
583	225275	160470
584	225734	160136
585	226168	159784
586	226577	159415
587	226952	159020
588	227329	158628
589	227690	158225
590	228167	157902
591	228561	157522
592	228979	157157
593	229333	156749
594	229712	156359
595	230156	156011
596	230563	155640
597	230888	155212
598	231253	154812
599	231568	154378
600	231944	153986
601	232361	153621
602	232767	153248
603	233161	152867
604	233596	152513
605	233989	152132
606	234348	151728
607	234744	151348
608	235118	150954
609	235485	150556
610	235949	150219
611	236380	149862
612	236765	149475
613	237171	149101
614	237562	148718
615	237916	148311
616	238346	147952
617	238799	147607
618	239221	147242
619	239635	146873
620	239995	146470
621	240356	146068
622	240711	145663
623	241184	145329
624	241573	144943
625	241947	144550
626	242320	144155
627	242683	143755
628	243107	143390
629	243523	143021
630	243990	142682
631	244423	142322
632	244880	141976
633	245234	141570
634	245633	141190
635	246014	140800
636	246444	140438
637	246821	140046
638	247192	139650
639	247577	139262
640	247942	138863
641	248324	138473
642	248703	138082
643	249142	137724
644	249545	137346
645	249952	136971
646	250423	136629
647	250871	136275
648	251235	135876
649	251671	135515
650	252086	135142
651	252452	134744
652	252846	134360
653	253204	133958
654	253635	133594
655	254077	133235
656	254511	132872
657	254892	132481
658	255305	132107
659	255713	131731
660	256087	131336
661	256449	130936
662	256910	130586
663	257287	130193
664	257705	129821
665	258070	129422
666	258467	129040
667	258876	128662
668	259270	128278
669	259652	127888
670	260007	127484
671	260400	127100
672	260784	126711
673	261146	126311
674	261523	125918
675	261942	125546
676	262320	125154
677	262715	124770
678	263104	124383
679	263520	124009
680	263904	123620
681	264355	123262
682	264718	122863
683	265099	122472
684	265480	122082
685	265929	121722
686	266383	121365
687	266799	120990
688	267180	120599
689	267589	120221
690	267993	119840
691	268452	119484
692	268870	119109
693	269312	118745
694	269719	118366
695	270174	118007
696	270587	117629
697	271010	117256
698	271507	116915
699	271938	116545
700	272354	116168
701	272794	115801
702	273197	115419
703	273646	115056
704	274036	114667
705	274443	114286
706	274857	113908
707	275225	113510
708	275588	113111
709	275961	112716
710	276423	112357
711	276804	111966
712	277185	111574
713	277603	111196
714	277984	110804
715	278406	110429
716	278761	110027
717	279260	109681
718	279726	109322
719	280110	108932
720	280522	108551
721	280916	108164
722	281343	107789
723	281766	107413
724	282166	107028
725	282537	106632
726	282923	106242
727	283347	105866
728	283786	105495
729	284152	105097
730	284599	104729
731	284997	104343
732	285396	103957
733	285829	103584
734	286243	103203
735	286652	102821
736	287016	102422
737	287424	102039
738	287778	101637
739	288181	101252
740	288580	100866
741	288921	100460
742	289361	100088
743	289743	99696
744	290185	99325
745	290621	98951
746	290986	98553
747	291413	98176
748	291840	97799
749	292284	97428
750	292664	97035
751	293107	96663
752	293528	96283
753	293943	95901
754	294342	95515
755	294725	95123
756	295112	94732
757	295521	94348
758	295955	93972
759	296347	93583
760	296744	93195
761	297144	92809
762	297525	92416
763	297988	92048
764	298417	91670
765	298834	91289
766	299264	90910
767	299623	90511
768	300013	90121
769	300438	89741
770	300810	89345
771	301205	88957
772	301605	88569
773	301970	88172
774	302360	87782
775	302780	87400
776	303240	87030
777	303636	86641
778	304047	86257
779	304444	85868
780	304825	85475
781	305233	85090
782	305653	84708
783	306142	84345
784	306504	83947
785	306955	83573
786	307458	83213
787	307879	82830
788	308303	82448
789	308755	82074
790	309125	81677
791	309512	81286
792	309939	80904
793	310318	80510
794	310819	80148
795	311164	79745
796	311620	79371
797	312004	78978
798	312396	78587
799	312858	78214
800	313237	77820
801	313639	77432
802	314158	77072
803	314584	76689
804	314957	76294
805	315393	75913
806	315794	75524
807	316196	75135
808	316582	74743
809	316986	74354
810	317395	73967
811	317829	73586
812	318213	73192
813	318573	72794
814	319036	72419
815	319438	72030
816	319841	71641
817	320330	71271
818	320767	70890
819	321242	70516
820	321671	70132
821	322094	69748
822	322587	69377
823	323046	69000
824	323473	68615
825	323880	68226
826	324294	67839
827	324758	67461
828	325125	67064
829	325559	66680
830	326030	66304
831	326432	65914
832	326866	65530
833	327365	65159
834	327779	64770
835	328193	64382
836	328601	63992
837	329059	63612
838	329517	63232
839	329923	62842
840	330313	62449
841	330782	62070
842	331166	61676
843	331564	61284
844	331940	60888
845	332295	60488
846	332738	60105
847	333130	59712
848	333567	59327
849	333962	58934
850	334393	58548
851	334715	58143
852	335157	57758
853	335568	57368
854	335974	56978
855	336394	56589
856	336829	56203
857	337214	55809
858	337623	55418
859	338000	55023
860	338378	54627
861	338841	54246
862	339202	53847
863	339660	53465
864	340178	53091
865	340581	52699
866	340997	52309
867	341411	51919
868	341789	51524
869	342236	51138
870	342639	50746
871	343063	50357
872	343514	49972
873	343935	49583
874	344364	49194
875	344794	48806
876	345169	48410
877	345637	48027
878	346071	47639
879	346504	47250
880	346993	46869
881	347396	46477
882	347799	46084
883	348265	45699
884	348692	45310
885	349087	44916
886	349531	44528
887	349934	44135
888	350340	43743
889	350721	43347
890	351122	42954
891	351505	42558
892	351876	42162
893	352268	41767
894	352720	41380
895	353112	40986
896	353488	40590
897	353864	40193
898	354315	39806
899	354730	39414
900	355221	39030
901	355605	38635
902	355992	38240
903	356409	37848
904	356817	37456
905	357268	37067
906	357695	36676
907	358049	36278
908	358432	35882
909	358824	35488
910	359233	35095
911	359631	34701
912	360021	34306
913	360513	33921
914	360907	33526
915	361295	33131
916	361752	32743
917	362196	32353
918	362660	31964
919	363058	31570
920	363487	31178
921	363978	30792
922	364379	30397
923	364799	30005
924	365219	29612
925	365671	29222
926	366107	28830
927	366466	28432
928	366828	28035
929	367204	27639
930	367577	27242
931	368017	26851
932	368449	26458
933	368891	26067
934	369232	25668
935	369626	25273
936	370072	24882
937	370498	24489
938	370968	24099
939	371336	23702
940	371837	23313
941	372270	22921
942	372670	22526
943	373112	22133
944	373529	21739
945	373863	21341
946	374218	20943
947	374643	20550
948	375055	20155
949	375465	19761
950	375896	19367
951	376312	18973
952	376771	18581
953	377163	18186
954	377528	17789
955	377987	17396
956	378440	17004
957	378879	16610
958	379271	16214
959	379677	15819
960	380015	15422
961	380456	15028
962	380898	14634
963	381275	14238
964	381673	13843
965	382049	13446
966	382445	13051
967	382843	12655
968	383255	12261
969	383613	11864
970	384023	11469
971	384453	11074
972	384864	10679
973	385326	10285
974	385756	9891
975	386103	9494
976	386557	9100
977	386938	8704
978	387400	8309
979	387824	7914
980	388263	7519
981	388683	7124
982	389072	6728
983	389490	6333
984	389926	5937
985	390319	5542
986	390689	5145
987	391163	4750
988	391569	4355
989	392023	3959
990	392394	3563
991	392786	3167
992	393207	2771
993	393607	2375
994	394074	1980
995	394459	1584
996	394867	1188
997	395297	792
998	395803	396
999	396204	0
