iter	Logloss
180	0.609125757
181	0.6090724215
182	0.6090434067
183	0.6090175909
184	0.6089874528
185	0.6089484862
186	0.6088957447
187	0.608874909
188	0.6088346693
189	0.6087973807
190	0.6087367001
191	0.6086977671
192	0.6086684004
193	0.6086111873
194	0.6085405356
195	0.6085086186
196	0.6084699346
197	0.6084268621
198	0.6083610433
199	0.6083386493
200	0.6082712051
201	0.6082019096
202	0.608184758
203	0.6081469572
204	0.6081214388
205	0.6080835055
206	0.6080562474
207	0.607987716
208	0.607957782
209	0.6079270452
210	0.6079047804
211	0.6078645284
212	0.607823591
213	0.6077883196
214	0.6077662852
215	0.6077434942
216	0.607711341
217	0.6076722503
218	0.6076310746
219	0.6075974161
220	0.6075576674
221	0.6075311227
222	0.6075080288
223	0.6074654537
224	0.6074182652
225	0.6073777217
226	0.6073492136
227	0.6073076076
228	0.6072603401
229	0.6072234781
230	0.6071819445
231	0.6071433391
232	0.6070977841
233	0.6070757478
234	0.6070416548
235	0.6070041152
236	0.6069532839
237	0.6069148832
238	0.6068822198
239	0.6068521323
240	0.6068272972
241	0.6067910731
242	0.6067605021
243	0.6067348928
244	0.6067037207
245	0.6066807806
246	0.606652241
247	0.6066265688
248	0.6066124288
249	0.6065749011
250	0.6065335301
251	0.6065012146
252	0.6064700826
253	0.6064194457
254	0.6063760662
255	0.6063510854
256	0.6063206843
257	0.606289975
258	0.6062694379
259	0.6062548503
260	0.6062251388
261	0.6061995983
262	0.6061845783
263	0.6061672895
264	0.6061440386
265	0.6061114161
266	0.6060685269
267	0.6060508713
268	0.6060183852
269	0.6059935048
270	0.6059579528
271	0.6059379407
272	0.6059160645
273	0.6058953771
274	0.605868408
275	0.6058270078
276	0.6058022572
277	0.6057607352
278	0.6057278395
279	0.6057068025
280	0.6056747406
281	0.6056456859
282	0.6055925685
283	0.6055735091
284	0.6055497431
285	0.605520654
286	0.6054977175
287	0.605474119
288	0.6054388476
289	0.6053893473
290	0.6053705732
291	0.605347502
292	0.6053321113
293	0.6053133788
294	0.6052831437
295	0.6052577926
296	0.6052437838
297	0.6052134009
298	0.6051887969
299	0.6051661838
300	0.6051488434
301	0.6051203804
302	0.6050976437
303	0.6050802236
304	0.6050543568
305	0.6050271846
306	0.6050089336
307	0.6049875391
308	0.6049589893
309	0.60493437
310	0.6049125739
311	0.6048909841
312	0.6048709221
313	0.6048524712
314	0.6048335566
315	0.6048116825
316	0.604775147
317	0.6047518641
318	0.6047210149
319	0.6047047768
320	0.6046929009
321	0.6046790054
322	0.6046620017
323	0.6046216411
324	0.604597926
325	0.6045758157
326	0.604549494
327	0.6045284142
328	0.60451031
329	0.6044879561
330	0.6044681469
331	0.604447448
332	0.6044301359
333	0.6044118159
334	0.6043691149
335	0.604344755
336	0.6043294312
337	0.6043081356
338	0.6042776263
339	0.6042428776
340	0.6042124771
341	0.6041791724
342	0.6041565017
343	0.6041374441
344	0.6041228363
345	0.6041059898
346	0.6040819223
347	0.6040497443
348	0.6040338172
349	0.6040113173
350	0.6039877493
351	0.6039640125
352	0.6039326811
353	0.6039126516
354	0.6038630426
355	0.6038399158
356	0.6038228183
357	0.6038024833
358	0.6037794993
359	0.6037522806
360	0.6037318898
361	0.6037176631
362	0.6036973507
363	0.6036793285
364	0.6036635984
365	0.6036493644
366	0.6036346924
367	0.6036182838
368	0.6035891558
369	0.6035780417
370	0.6035625226
371	0.6035485738
372	0.60352842
373	0.6035144672
374	0.6034963456
375	0.6034819611
376	0.6034692619
377	0.6034565054
378	0.603431072
379	0.603408066
380	0.6033847138
381	0.6033524749
382	0.6033385489
383	0.6033121521
384	0.6032987724
385	0.6032799445
386	0.6032581223
387	0.6032488047
388	0.6032208845
389	0.6031986674
390	0.6031836521
391	0.6031683563
392	0.603151692
393	0.603137038
394	0.6031238016
395	0.6031081637
396	0.6030870117
397	0.6030680861
398	0.6030537881
399	0.6030029557
400	0.6029900616
401	0.6029650704
402	0.6029426831
403	0.6029145337
404	0.6028880209
405	0.6028749365
406	0.6028582763
407	0.6028395755
408	0.602819805
409	0.602799755
410	0.6027837428
411	0.6027636352
412	0.6027323711
413	0.6027212727
414	0.6027015413
415	0.6026675298
416	0.6026422277
417	0.6026120194
418	0.6025981531
419	0.602561282
420	0.6025480093
421	0.6025334929
422	0.6025141416
423	0.6024933755
424	0.6024725423
425	0.6024526584
426	0.6024246305
427	0.6024058141
428	0.6023816039
429	0.6023588518
430	0.6023189123
431	0.602305859
432	0.6022911507
433	0.602275157
434	0.6022612047
435	0.6022488703
436	0.6022311951
437	0.6022061292
438	0.6021890128
439	0.6021716815
440	0.6021559545
441	0.6021349348
442	0.6021168026
443	0.6021035225
444	0.602087345
445	0.6020782948
446	0.6020594885
447	0.6020512027
448	0.6020204629
449	0.6020060236
450	0.6019978972
451	0.6019812978
452	0.6019680185
453	0.601951197
454	0.6019393113
455	0.6019119094
456	0.6018979302
457	0.6018838818
458	0.6018679429
459	0.6018539345
460	0.6018266224
461	0.6018206506
462	0.6018052338
463	0.6017802311
464	0.60176968
465	0.6017572937
466	0.6017415817
467	0.6017260418
468	0.6017072237
469	0.6016985225
470	0.6016792711
471	0.60166263
472	0.6016375226
473	0.6016196565
474	0.6016054103
475	0.6015926648
476	0.6015728356
477	0.6015597924
478	0.6015331582
479	0.60151851
480	0.6015054993
481	0.601487646
482	0.6014732852
483	0.6014498218
484	0.6014357931
485	0.6014070374
486	0.6013899357
487	0.6013737708
488	0.6013603605
489	0.6013496544
490	0.6013270759
491	0.6013125629
492	0.6012976742
493	0.6012870626
494	0.6012759266
495	0.6012554459
496	0.6012378228
497	0.601204458
498	0.6011945289
499	0.6011831254
500	0.6011749384
501	0.6011580967
502	0.6011378183
503	0.6011171902
504	0.6010863245
505	0.6010762546
506	0.6010640299
507	0.6010445053
508	0.601021875
509	0.6010074462
510	0.6009903742
511	0.6009804668
512	0.6009656819
513	0.6009565729
514	0.6009343493
515	0.6009205269
516	0.6009072353
517	0.6008868639
518	0.6008717574
519	0.6008547586
520	0.6008238491
521	0.6008012919
522	0.6007740428
523	0.6007627097
524	0.6007489659
525	0.6007400936
526	0.6007289355
527	0.6007150079
528	0.6007046918
529	0.600681566
530	0.6006614705
531	0.6006348859
532	0.6006174689
533	0.6006029256
534	0.6005886806
535	0.6005718565
536	0.6005582347
537	0.6005390643
538	0.6005214822
539	0.600497683
540	0.6004859947
541	0.6004726714
542	0.6004606452
543	0.6004463816
544	0.6004357762
545	0.6004223398
546	0.6004120258
547	0.6003841131
548	0.6003712718
549	0.6003516443
550	0.6003398119
551	0.6003240613
552	0.600311487
553	0.6002945823
554	0.600281357
555	0.6002669562
556	0.6002548377
557	0.6002449925
558	0.6002268062
559	0.6002164649
560	0.6002065602
561	0.6001867128
562	0.6001722768
563	0.6001493127
564	0.6001395537
565	0.6001294279
566	0.6001212349
567	0.6001020559
568	0.6000902755
569	0.6000779451
570	0.6000712091
571	0.6000604022
572	0.6000504055
573	0.6000334628
574	0.6000181089
575	0.600005022
576	0.599990195
577	0.5999739802
578	0.5999547184
579	0.5999410067
580	0.5999289283
581	0.5999180382
582	0.5999048978
583	0.5998996406
584	0.5998741068
585	0.5998632429
586	0.5998514874
587	0.5998370438
588	0.5998179216
589	0.5997999285
590	0.5997874066
591	0.5997776223
592	0.5997600739
593	0.5997489567
594	0.5997382061
595	0.5997199167
596	0.5997025208
597	0.5996876615
598	0.5996780302
599	0.5996641493
600	0.5996535535
601	0.5996407545
602	0.5996271177
603	0.5996134631
604	0.5995994852
605	0.5995885556
606	0.5995770714
607	0.5995664536
608	0.5995553325
609	0.5995456288
610	0.5995334346
611	0.599523245
612	0.5995117077
613	0.5995002476
614	0.5994805765
615	0.599463126
616	0.599449762
617	0.5994402008
618	0.599431222
619	0.5994183258
620	0.5994035865
621	0.5993926458
622	0.5993796427
623	0.5993653815
624	0.5993560863
625	0.5993428624
626	0.5993325803
627	0.599320557
628	0.5993087225
629	0.5992983796
630	0.5992861924
631	0.5992707232
632	0.5992580171
633	0.5992452307
634	0.5992350585
635	0.599224881
636	0.5992148319
637	0.5992038053
638	0.5991905463
639	0.5991786556
640	0.5991618648
641	0.5991442534
642	0.5991362173
643	0.5991239027
644	0.599111442
645	0.5991028567
646	0.5990784615
647	0.5990700646
648	0.5990601013
649	0.5990491453
650	0.5990389653
651	0.599019838
652	0.5990084408
653	0.5989965009
654	0.5989860045
655	0.5989777028
656	0.5989594335
657	0.598951906
658	0.5989426955
659	0.5989282078
660	0.5989173543
661	0.598906648
662	0.5988911627
663	0.5988826385
664	0.5988680845
665	0.5988526563
666	0.5988446904
667	0.5988259286
668	0.5988168413
669	0.598808314
670	0.5987753609
671	0.5987626388
672	0.5987483938
673	0.5987375138
674	0.5987249191
675	0.5987152715
676	0.5987076577
677	0.5986978781
678	0.5986919115
679	0.5986839523
680	0.5986765388
681	0.5986613936
682	0.5986520816
683	0.5986318213
684	0.5986254563
685	0.5986176762
686	0.5986076709
687	0.5985916043
688	0.5985821897
689	0.5985722776
690	0.5985639916
691	0.5985485327
692	0.598534262
693	0.5985224152
694	0.5985147453
695	0.5984964378
696	0.5984842359
697	0.5984669966
698	0.5984576058
699	0.5984475433
700	0.5984318545
701	0.5984248242
702	0.5984145759
703	0.5984039211
704	0.5983937785
705	0.5983814935
706	0.5983731591
707	0.5983597845
708	0.5983508238
709	0.5983396665
710	0.598327271
711	0.5983159331
712	0.5983084676
713	0.5982975989
714	0.5982860324
715	0.598269448
716	0.598261099
717	0.5982448201
718	0.5982320517
719	0.5982210938
720	0.598206783
721	0.5981949172
722	0.5981749969
723	0.5981623884
724	0.5981538447
725	0.5981425237
726	0.5981331173
727	0.5981232681
728	0.5981129359
729	0.598100287
730	0.598087598
731	0.5980776858
732	0.5980682235
733	0.5980577688
734	0.5980485849
735	0.5980393415
736	0.5980303506
737	0.598018322
738	0.5980066697
739	0.5979952735
740	0.5979858159
741	0.5979721269
742	0.5979636183
743	0.5979503117
744	0.5979428698
745	0.5979226255
746	0.5979127711
747	0.5979034666
748	0.5978882507
749	0.5978782355
750	0.5978679752
751	0.5978545371
752	0.5978486423
753	0.5978328442
754	0.5978231311
755	0.5978103438
756	0.59779886
757	0.5977890533
758	0.5977817832
759	0.5977756832
760	0.5977442594
761	0.5977380714
762	0.5977247115
763	0.5977131388
764	0.5977041861
765	0.5976953403
766	0.5976885142
767	0.5976775638
768	0.5976647721
769	0.597656994
770	0.5976449905
771	0.5976359485
772	0.5976276733
773	0.5976097687
774	0.5975986449
775	0.5975920792
776	0.5975815124
777	0.5975713588
778	0.5975624369
779	0.5975526632
780	0.5975391331
781	0.5975327265
782	0.597502783
783	0.5974923177
784	0.5974789028
785	0.5974619589
786	0.5974521182
787	0.5974395894
788	0.5974315708
789	0.5974244502
790	0.5974153837
791	0.5974084922
792	0.5973981153
793	0.5973899463
794	0.5973726008
795	0.5973556138
796	0.5973470721
797	0.5973395242
798	0.5973298836
799	0.5973185606
800	0.5972998917
801	0.5972931043
802	0.5972843364
803	0.597277935
804	0.5972717608
805	0.5972644063
806	0.5972552704
807	0.5972415074
808	0.5972335968
809	0.597226972
810	0.5972109991
811	0.5972017836
812	0.5971888996
813	0.5971796001
814	0.5971731269
815	0.5971654701
816	0.5971573403
817	0.5971451447
818	0.597133843
819	0.5971271242
820	0.5971167715
821	0.597101652
822	0.5970946428
823	0.5970671559
824	0.5970579283
825	0.5970449314
826	0.5970387869
827	0.5970306784
828	0.5970199691
829	0.5970087553
830	0.5969975027
831	0.5969902242
832	0.5969771513
833	0.5969652988
834	0.5969574517
835	0.5969483806
836	0.5969390072
837	0.5969224047
838	0.5969126584
839	0.5969063543
840	0.5968983298
841	0.5968903953
842	0.5968794437
843	0.5968709915
844	0.5968623496
845	0.596852485
846	0.5968422797
847	0.5968339964
848	0.5968232178
849	0.5968176037
850	0.5968012087
851	0.596792088
852	0.5967805879
853	0.5967735417
854	0.5967649077
855	0.5967529555
856	0.5967394775
857	0.5967270317
858	0.5967184065
859	0.5967107252
860	0.596701515
861	0.596688606
862	0.5966767339
863	0.5966686274
864	0.5966536815
865	0.5966462279
866	0.5966373362
867	0.596624247
868	0.5966100929
869	0.5965978293
870	0.596584789
871	0.5965680207
872	0.5965588416
873	0.5965501186
874	0.5965355261
875	0.5965258009
876	0.5965119996
877	0.5965029996
878	0.5964897008
879	0.5964779642
880	0.5964658451
881	0.5964574797
882	0.5964505077
883	0.5964397739
884	0.5964285613
885	0.5964174552
886	0.5964084788
887	0.5963996948
888	0.5963923795
889	0.5963819296
890	0.5963733796
891	0.5963647974
892	0.596359536
893	0.5963495533
894	0.5963387896
895	0.5963293974
896	0.5963175288
897	0.5963053629
898	0.5962931335
899	0.5962848637
900	0.5962760588
901	0.5962651233
902	0.5962561417
903	0.5962454636
904	0.5962360991
905	0.5962280683
906	0.5962161756
907	0.5962061916
908	0.5961969055
909	0.5961878398
910	0.5961819064
911	0.5961732744
912	0.5961646269
913	0.5961547971
914	0.5961414194
915	0.5961321344
916	0.5961187532
917	0.5961116782
918	0.5961032074
919	0.5960944219
920	0.5960872717
921	0.5960796885
922	0.5960704619
923	0.5960584298
924	0.5960524803
925	0.5960302154
926	0.5960194239
927	0.5960097121
928	0.5960000082
929	0.5959957665
930	0.5959879282
931	0.5959810698
932	0.5959721196
933	0.595960473
934	0.595947384
935	0.5959398465
936	0.5959331274
937	0.5959182516
938	0.5959090406
939	0.5959004115
940	0.5958881919
941	0.5958770422
942	0.5958646965
943	0.5958548915
944	0.5958478119
945	0.5958366411
946	0.595827568
947	0.5958199393
948	0.5958112657
949	0.5958030877
950	0.5957949519
951	0.5957892431
952	0.5957790455
953	0.5957730301
954	0.5957653499
955	0.5957545545
956	0.5957456704
957	0.5957376422
958	0.5957283274
959	0.595720456
960	0.5957068827
961	0.595699262
962	0.5956909056
963	0.5956826351
964	0.5956663219
965	0.5956591871
966	0.5956492493
967	0.5956417908
968	0.5956349664
969	0.5956239865
970	0.5956166592
971	0.5956084023
972	0.595600826
973	0.5955920012
974	0.5955831706
975	0.5955706876
976	0.5955573931
977	0.5955447279
978	0.5955365657
979	0.5955272702
980	0.5955194784
981	0.5955103085
982	0.5955013972
983	0.5954916227
984	0.5954841159
985	0.5954761664
986	0.5954685667
987	0.5954544257
988	0.595447525
989	0.5954369152
990	0.5954273628
991	0.5954169896
992	0.5954083232
993	0.5953973864
994	0.5953914569
995	0.5953848723
996	0.5953774117
997	0.5953646977
998	0.5953558751
999	0.5953475295
